
Full Report
epoch=1900
numDocs=2117
numTokens=35464
numWords=2785
numTopics=20

TOPIC 0  (total count=2095)
SYMBOL             WORD    COUNT   PROB          Z
   868          address       18   0.009       3.9
  2312            pause       18   0.009       4.0
     8           answer       17   0.008       1.7
   973          forward       17   0.008       3.0
   464         suddenly       16   0.008       3.8
   674           walked       16   0.008       2.0
  1216         together       16   0.008       1.5
  1414             tone       16   0.008       3.8
  1498          exactly       16   0.008       2.6
   737            tried       15   0.007       3.5

TOPIC 11  (total count=1835)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   194             walk       37   0.020       4.8
   543             door       35   0.019       5.6
   674           walked       28   0.015       3.9
  2569             seen       27   0.014       2.6
  2285          minutes       26   0.014       4.0
   189         returned       23   0.012       3.1
   603            place       23   0.012       2.2
   977           coming       23   0.012       2.5
  2346           moment       23   0.012       2.3
   619             park       22   0.012       4.4
  1901      immediately       22   0.012       2.4
  2138              new       22   0.012       4.3
  2377            found       22   0.012       2.3
  2675              met       22   0.012       3.2
  1220         carriage       20   0.011       2.7
   371          morning       18   0.010       1.6
   706              few       18   0.010       1.7
  2652           dining       18   0.010       4.0
   239           passed       17   0.009       1.8
  1483             here       17   0.009       1.6
  1894            whose       17   0.009       1.8
  1474          entered       16   0.009       2.4
  1765           window       16   0.009       3.8
  2169          rosings       16   0.009       1.9
   753          silence       15   0.008       2.3
   980             next       15   0.008       1.3
  2129            maria       15   0.008       3.1
  2528            short       15   0.008       1.9
   938          sitting       14   0.008       2.8
  1105        pemberley       14   0.008       1.5

TOPIC 12  (total count=1595)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   314             want       30   0.018       4.2
  2260             mind       30   0.018       3.6
  1475          sisters       29   0.018       2.9
   657     acquaintance       26   0.016       3.3
  1795          manners       26   0.016       3.6
  2027            those       26   0.016       3.0
  2006           temper       24   0.015       4.7
  1909         anything       22   0.014       2.1
  1914           beyond       22   0.014       3.4
   462           people       21   0.013       2.7
  1748           others       21   0.013       2.5
  2689        convinced       21   0.013       3.0
  2026             less       19   0.012       1.8
    91          friends       18   0.011       2.1
  2376       themselves       18   0.011       2.8
   192          against       17   0.010       2.0
  1987         appeared       17   0.010       2.8
  2211         observed       17   0.010       3.0
   233      indifferent       16   0.010       3.8
   393         sensible       16   0.010       2.6
  2432        character       16   0.010       1.6
   346           matter       15   0.009       2.5
  1202          dislike       15   0.009       2.9
  1872            proud       15   0.009       3.0
  2390            happy       15   0.009       1.2
  2447      netherfield       15   0.009       1.4
  2608             self       15   0.009       2.8
  2615          allowed       15   0.009       2.7
   338           merely       14   0.009       2.2
   498        affection       14   0.009       1.5

TOPIC 13  (total count=1418)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1546             like       33   0.023       3.4
   173        something       32   0.022       3.5
   132            dance       29   0.020       4.9
  2771            woman       27   0.019       3.2
   174            asked       24   0.017       3.5
   589              ill       24   0.017       2.4
   518         handsome       21   0.015       3.2
   660          whether       21   0.015       2.6
  1344             dare       21   0.015       3.1
  2239            eliza       21   0.015       4.3
  2300        agreeable       20   0.014       2.7
  2610             ball       20   0.014       3.1
  1461          suppose       19   0.013       2.5
    58           rather       18   0.012       2.1
  1634            lucas       18   0.012       1.8
  2087              ask       17   0.012       2.8
  2675              met       17   0.012       2.5
   138          brother       16   0.011       1.4
   341             mean       16   0.011       2.5
  2363        certainly       16   0.011       1.5
  1052          dancing       15   0.010       3.1
  1248          evening       15   0.010       1.4
  1273         pleasant       15   0.010       3.1
  1455             help       15   0.010       2.1
  1501            laugh       15   0.010       3.4
  2378           assure       15   0.010       2.2
   291            girls       14   0.010       1.8
   548        questions       14   0.010       3.3
  2539           asking       14   0.010       3.6
   222           second       13   0.009       2.4

TOPIC 14  (total count=1431)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1880          colonel       66   0.045       7.8
  1074            uncle       49   0.034       5.6
  1083             aunt       45   0.031       4.5
  1135          forster       39   0.027       6.0
  2254      fitzwilliam       37   0.025       5.8
  1400             told       35   0.024       3.9
   468             just       28   0.019       2.9
   157          another       25   0.017       3.0
   173        something       25   0.017       2.6
  2333            still       25   0.017       2.6
   842          already       23   0.016       4.1
  1969         phillips       22   0.015       3.7
   907           former       20   0.014       3.0
  2632             poor       19   0.013       2.8
    50          assured       18   0.012       3.2
   369             tell       18   0.012       1.8
   928              why       18   0.012       2.2
  1100           reason       18   0.012       2.2
  1980           likely       18   0.012       2.7
  1059             find       17   0.012       1.9
