
Full Report
epoch=1900
numDocs=2478
numTokens=6091
numWords=870
numTopics=15

TOPIC 0  (total count=391)
SYMBOL             WORD    COUNT   PROB          Z
   116          written        6   0.015       2.3
   470           lizard        6   0.015       2.3
   472          meaning        6   0.015       1.9
   769         sentence        6   0.015       2.3
    46       procession        5   0.013       2.1
    92             grin        5   0.013       1.9
   122           become        5   0.013       2.1
   438             rule        5   0.013       2.1
   497              box        5   0.013       1.4
   764              hot        5   0.013       1.7
    31           slates        4   0.010       1.2
    36          capital        4   0.010       1.9
   166          outside        4   0.010       1.9
   271           french        4   0.010       1.9
   286         pictures        4   0.010       1.9

TOPIC 10  (total count=427)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
    50            tried       19   0.044       4.1
   322             away       19   0.044       3.5
   109            under       16   0.037       3.7
   647          footman       14   0.032       3.5
    49             room       13   0.030       3.4
    32           having       10   0.023       2.9
   200          another       10   0.023       1.8
   583          croquet        9   0.021       2.8
   786             hall        9   0.021       2.8
   213             fish        8   0.018       2.6
   252          against        8   0.018       2.5
   400           ground        8   0.018       2.6
   549             play        8   0.018       2.6
   562            lying        8   0.018       2.6
   579           either        8   0.018       2.3
   775          noticed        8   0.018       2.6
   779             hard        8   0.018       2.6
   784           asleep        8   0.018       2.6
    33            fancy        7   0.016       2.5
   143             soon        7   0.016       1.1
   648             deep        7   0.016       2.5
   729            being        7   0.016       1.3
   822              arm        7   0.016       1.5
   827            trees        7   0.016       2.5
   268             fell        6   0.014       2.3
   315          between        6   0.014       2.3
   395            cried        6   0.014       1.0
   432             ever        6   0.014       1.0
   451            spoke        6   0.014       1.2
   611         suddenly        6   0.014       1.4

TOPIC 11  (total count=378)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
    93            while       25   0.065       4.7
   474             till       21   0.054       4.3
   160              sat       17   0.044       3.9
    57              ran       14   0.036       3.3
    68          silence       14   0.036       3.5
   395            cried       14   0.036       2.9
   698             game       12   0.031       3.1
   716          hastily       12   0.031       2.8
   208          minutes       11   0.028       3.1
   524           waited       11   0.028       3.1
    10              few        9   0.023       2.8
    16     conversation        9   0.023       2.7
   699             dodo        9   0.023       2.3
   460              bit        8   0.021       1.8
   537              beg        8   0.021       2.7
    17            trial        6   0.016       1.7
   174           slowly        6   0.016       1.9
   343           coming        6   0.016       1.8
   429             rest        6   0.016       1.7
   510           pardon        6   0.016       2.3
   678             deal        6   0.016       1.5
   766           silent        6   0.016       2.1
   794          however        6   0.016       1.1
    88           finger        5   0.013       2.1
   142             chin        5   0.013       1.7
   155        confusion        5   0.013       2.1
   187             drew        5   0.013       2.1
   490       altogether        5   0.013       2.1
   539            meant        5   0.013       2.1
   868             swam        5   0.013       2.1

TOPIC 12  (total count=393)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   577          talking       17   0.042       3.9
   441             find       15   0.037       3.0
   657             idea       15   0.037       3.6
   502            among       12   0.030       3.2
   225          explain       10   0.025       3.0
   439             mean       10   0.025       3.0
   570             best       10   0.025       2.7
   573             seen       10   0.025       2.3
   240           enough        9   0.022       1.9
   677            least        9   0.022       2.8
    41              far        8   0.020       2.0
   448           bright        8   0.020       2.6
   504          whiting        8   0.020       2.6
   705           nobody        8   0.020       2.6
   710             done        8   0.020       1.8
   773          running        8   0.020       2.6
   811              dry        8   0.020       2.6
   836            haven        8   0.020       2.6
   419          pleased        7   0.017       2.5
   516           listen        7   0.017       2.5
   546         nonsense        7   0.017       2.5
   611         suddenly        7   0.017       1.7
   787             half        7   0.017       1.2
   151           leaves        6   0.015       2.3
   207          chimney        6   0.015       2.3
   302            liked        6   0.015       2.3
   322             away        6   0.015       0.9
   414             race        6   0.015       2.3
    48            often        5   0.012       2.1
    74            water        5   0.012       2.1

TOPIC 13  (total count=412)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   392            table       16   0.038       3.5
   496             take       15   0.036       2.9
    52          through       14   0.033       3.5
   491             talk       14   0.033       3.5
   120           garden       13   0.031       3.0
   264            still       13   0.031       3.4
   565           always       13   0.031       3.4
   250             near       12   0.029       2.8
   319          growing       11   0.026       3.1
   204            glass       10   0.024       3.0
   715            small       10   0.024       3.0
    62             help        9   0.021       2.8
    95             rate        9   0.021       2.8
   246              key        9   0.021       2.8
   605            house        9   0.021       1.8
   261             five        8   0.019       2.6
   506          eagerly        8   0.019       2.6
   688         mushroom        8   0.019       2.6
   755            ready        8   0.019       2.6
   808             four        8   0.019       2.6
   195           golden        7   0.017       2.5
   409             fall        7   0.017       2.5
