<Congress of Industrial Organizations Political Action Committee, ORGANIZATION>
<Mark, PERSON>
<Dorothy Hodgkin, ORGANIZATION>
<John Wakeham, PERSON>
<Ronald Reagan, PERSON>
<Soviet Union, LOCATION>
<Royal Society, ORGANIZATION>
<Hyde Park, LOCATION>
<Gini, PERSON>
<Alexandra, PERSON>
<Mother, PERSON>
<Heath, LOCATION>
<Task Force, ORGANIZATION>
<Warsaw Pact, ORGANIZATION>
<Presidential Medal of Freedom, ORGANIZATION>
<Gora, ORGANIZATION>
<Ronald Reagan Presidential Library, ORGANIZATION>
<Milton Friedman, PERSON>
<Claire Berlinski, PERSON>
<Llandudno, LOCATION>
<Irish National Liberation Army, ORGANIZATION>
<USSR, ORGANIZATION>
<British, LOCATION>
<Bill, PERSON>
<Republic of Croatia, LOCATION>
<Margaret Hilda Roberts, PERSON>
<George H. W. Bush, PERSON>
<ARA General Belgrano, ORGANIZATION>
<OM, ORGANIZATION>
<Anthony Meyer, PERSON>
<EC, ORGANIZATION>
<Labour Party, ORGANIZATION>
<Iraqi, LOCATION>
<Dmitar Zvonimir, PERSON>
<Baroness Thatcher, PERSON>
<Harold Macmillan, PERSON>
<Andy Beckett, PERSON>
<International Monetary Fund, ORGANIZATION>
<Oftel, ORGANIZATION>
<Garret FitzGerald, PERSON>
<Huntingtower Road Primary School, ORGANIZATION>
<William Hague, PERSON>
<Edinburgh, LOCATION>
<Ronald Reagan Freedom Award, ORGANIZATION>
<Stanley, LOCATION>
<Douglas Keay, PERSON>
<Kensington Town Hall, LOCATION>
<Britain, LOCATION>
<United Kingdom, LOCATION>
<Oxford, LOCATION>
<College of William and Mary, ORGANIZATION>
<Grantham Council, ORGANIZATION>
<RAF Greenham Common, ORGANIZATION>
<Antony Fisher, PERSON>
<House of Commons, ORGANIZATION>
<Carol, PERSON>
<University Graduate Conservative Association, ORGANIZATION>
<University of Oxford, ORGANIZATION>
<St. Francis, PERSON>
<Ralph Harris, PERSON>
<Ian MacGregor, PERSON>
<Soviet Defence Ministry, ORGANIZATION>
<British Steel, ORGANIZATION>
<Ian Gow, PERSON>
<Northamptonshire, LOCATION>
<Libyan, LOCATION>
<Carlton Club, ORGANIZATION>
<Sinn Féin Ard Fheis, ORGANIZATION>
<St Thomas, PERSON>
<Richard Stone, PERSON>
<Grenada, LOCATION>
<UK, LOCATION>
<NATO, ORGANIZATION>
<Edward Heath, PERSON>
<J. Lyons, PERSON>
<England, LOCATION>
<Assisi, LOCATION>
<NCB, ORGANIZATION>
<Agusta, ORGANIZATION>
<European, LOCATION>
<Power, ORGANIZATION>
<Shadow Fuel, ORGANIZATION>
<Sikorsky Aircraft Corporation, ORGANIZATION>
<HM Treasury, ORGANIZATION>
<Lena Goldfields Massacre, PERSON>
<Oxford, LOCATION>
<Mikhail Gorbachev, PERSON>
<Moscow Metro, ORGANIZATION>
<Fifth Army, ORGANIZATION>
<Novocherkassk, LOCATION>
<Francis Gary Powers, PERSON>
<Iowa, LOCATION>
<Bolshoi, LOCATION>
<Soviet Union, LOCATION>
<Peng Zhen, PERSON>
<Nikolai Bulganin, PERSON>
<Russian, LOCATION>
<Pravda, LOCATION>
<Aleksandr Shelepin, PERSON>
<William Tompson, PERSON>
<Lorenzo Sumulong, PERSON>
<Mr. Khrushchev, PERSON>
<Latvian, LOCATION>
<Jerome Hines, PERSON>
<Organizational Department of the Ukrainian Party 's Central Committee, ORGANIZATION>
<Marshal Semyon Budyonny, PERSON>
<Ukrainian Insurgent Army, ORGANIZATION>
<Moscow, LOCATION>
<Bolsheviks, LOCATION>
<Dalian, LOCATION>
<Josip Tito, PERSON>
<Leonid Brezhnev, PERSON>
<Twentieth Party Congress, ORGANIZATION>
<Kyuichi Tokuda, PERSON>
<Georgi Zhukov, PERSON>
<Kursk Oblast, LOCATION>
<Tsar Nicholas II, PERSON>
<Vasily Chuikov, PERSON>
<Ukrainian Politburo Organizational Bureau, ORGANIZATION>
<Vladimir Dudintsev, PERSON>
<Llewellyn Thompson, PERSON>
<Georgy Malenkov, PERSON>
<Leningrad, LOCATION>
<Informbiro, LOCATION>
<Andrei Gromyko, PERSON>
<Sputnik, ORGANIZATION>
<Ukrainian Soviet Socialist Republic, LOCATION>
<Yugoslavia, LOCATION>
<Soviet Kaliningrad, LOCATION>
<Trofim Lysenko, PERSON>
<Abkhazia, LOCATION>
<Vladimir Semichastny, PERSON>
<Liuba Khrushcheva, PERSON>
<Leonid Khrushchev, PERSON>
<Ivan Denisovich, PERSON>
<Khrushcheby, PERSON>
<Stalingrad, LOCATION>
<Virgin Lands Campaign, ORGANIZATION>
<Marusia, PERSON>
<United States Senate Committee, ORGANIZATION>
<West Berlin, LOCATION>
<Alexei Kosygin, PERSON>
<San Francisco, LOCATION>
<NATO, ORGANIZATION>
<Veteran New York Times Moscow, ORGANIZATION>
<Western Powers, ORGANIZATION>
<Kliment Voroshilov, PERSON>
<Caribbean, LOCATION>
<Poland, LOCATION>
<CIA, ORGANIZATION>
<William Kirby, PERSON>
<J. William Fulbright, PERSON>
<Walter Ulbricht, PERSON>
<Kalinovka, LOCATION>
<United States, LOCATION>
<Robert, PERSON>
<IBM, ORGANIZATION>
<Averill Harriman, PERSON>
<Central Committee as First Secretary of the Party, ORGANIZATION>
<Thomas J. Watson, PERSON>
<Second Taiwan Strait Crisis, ORGANIZATION>
<Bay of Pigs, LOCATION>
<Konstantin Moiseyenko, PERSON>
<Stalino, LOCATION>
